890,0.00,0.00,0.00,27.12,-51.50,11.38,0.00,0.00,0.00
932,-9.57,2.80,9.53,55.69,-30.56,33.13,356.88,-2.31,-0.63
974,-10.58,3.89,8.63,76.56,21.12,12.44,356.25,-2.38,-3.50
1016,-8.67,5.75,13.66,89.81,50.50,3.69,355.81,-3.81,-6.69
1059,-2.78,10.89,8.44,64.37,55.88,-63.50,358.06,-6.81,-10.13
1103,6.23,11.99,2.75,-13.63,54.19,-48.56,0.44,-9.38,-10.13
1145,12.89,14.31,-4.27,-35.94,33.00,6.19,0.31,-11.00,-8.75
1187,13.25,13.79,-14.28,-63.44,31.94,-56.88,1.44,-12.19,-6.63
1235,11.23,11.37,-22.29,-55.25,52.06,5.38,2.25,-14.56,-3.50
1278,9.83,11.80,-23.26,-81.50,99.00,-0.88,1.44,-17.69,-0.50
1321,8.80,10.30,-26.93,-49.06,75.31,18.62,0.94,-21.06,1.56
1362,3.29,6.46,-27.93,-12.75,26.56,-7.50,359.88,-23.31,3.06
1405,5.51,6.86,-29.05,15.56,27.31,-20.81,0.81,-24.25,3.06
1447,7.57,6.13,-26.27,40.38,17.25,24.00,1.00,-25.19,1.88
1490,10.38,9.20,-24.75,36.63,-34.75,59.19,358.88,-24.19,-1.19
1536,14.48,10.01,-23.81,4.50,-126.25,1.69,358.31,-20.31,-1.75
1579,16.68,10.41,-15.35,-3.81,-146.50,-28.12,359.19,-14.81,-1.50
1625,11.99,15.86,-7.99,-10.44,-116.37,33.44,359.06,-8.63,-1.63
1667,7.66,9.53,7.89,-115.62,-124.19,37.31,357.50,-3.94,1.31
1718,4.42,11.54,5.28,-22.00,-165.94,86.37,353.31,2.06,3.69
1760,-0.08,6.10,14.07,-35.81,-108.94,31.56,351.25,7.13,5.63
1803,-0.57,3.46,8.11,37.00,-94.81,-34.06,351.88,12.00,4.81
1847,-7.51,6.49,8.96,31.37,-4.00,-31.44,353.31,12.88,3.13
1889,-4.97,5.73,7.36,51.50,-7.06,-17.31,353.88,13.19,1.44
1932,-2.46,9.24,5.61,43.81,55.38,-14.81,354.31,12.13,-0.94
1977,0.79,7.89,5.68,26.75,108.75,1.88,354.19,7.38,-2.19
2019,4.63,11.48,2.50,26.06,137.63,-74.19,355.75,2.19,-3.69
2061,8.51,9.96,-1.26,-9.19,134.19,-74.44,358.94,-3.31,-3.75
2104,12.13,13.48,-8.32,-9.25,86.12,13.63,359.19,-8.13,-3.25
2148,13.10,9.32,-16.02,-4.06,102.94,60.69,357.06,-11.69,-3.38
2191,14.05,12.11,-22.52,-46.06,133.38,63.63,354.25,-16.25,-2.94
2233,10.03,8.25,-23.83,-90.31,114.87,38.69,351.75,-21.19,-0.31
2275,9.77,11.47,-28.46,-36.13,68.75,-2.00,350.81,-24.31,1.31
2321,8.69,10.91,-26.70,-35.06,45.13,-41.75,351.88,-27.31,3.94
2363,3.91,10.17,-23.98,2.56,10.69,-49.13,353.56,-27.87,5.50
2406,6.70,9.66,-22.86,26.31,-19.12,-47.75,356.19,-27.06,5.56
2450,9.43,11.08,-20.64,-0.75,-73.87,-20.69,357.38,-24.81,5.75
2495,10.80,12.06,-17.58,20.81,-94.00,-20.19,357.88,-21.31,5.63
2539,12.98,11.91,-13.72,42.13,-104.56,-45.31,359.88,-16.31,4.19
2582,13.11,13.82,-4.88,60.38,-98.06,-10.56,1.19,-12.25,2.31
2623,9.16,14.57,1.00,37.63,-104.44,7.88,1.06,-8.44,0.19
2665,4.04,8.96,9.23,2.00,-96.75,37.94,0.50,-4.44,0.37
2711,-2.07,9.46,8.91,7.75,-40.19,37.81,358.50,-0.37,-1.25
2754,-4.43,7.35,11.61,-8.63,-9.81,57.19,356.50,0.31,-0.94
