 0.51, 0.31, 8.71,-0.02,-0.00, 0.06
 0.08,-0.55, 8.71, 0.05, 0.02,-0.30
 1.22, 0.78, 7.26,-0.98,-1.05, 0.28
 3.80,-6.79, 5.06,-1.68, 0.75,-0.05
-2.55,-4.31, 7.65, 2.49, 1.95, 0.75
 4.35,-0.12, 6.28,-1.41,-3.03, 1.66
 1.57,-10.28, 1.80,-3.21, 3.94, 1.30
 2.04,-10.04, 6.32, 3.65, 0.69, 0.89
-6.75, 0.86, 6.08, 0.70, 1.03,-0.45
-8.39,-0.04, 3.18, 0.39, 0.74,-0.23
-5.96, 1.73, 7.92,-1.41,-3.58, 0.24
 2.86,-1.18, 7.88, 0.15,-2.01, 0.20
 3.65,-9.41, 1.02,-0.73, 0.53, 1.43
 3.02,-4.79, 8.36, 1.37, 0.69,-0.82
 0.04, 0.86, 8.63,-2.61,-1.11, 1.74
 0.82,-2.04, 8.63, 0.15, 0.21, 0.27
 0.16, 0.63, 6.04, 0.22,-0.18,-0.24
 0.51, 0.31, 8.75,-0.02,-0.00, 0.06
 0.43, 0.39, 8.83,-0.02,-0.00, 0.06
 0.43, 0.35, 8.71,-0.02,-0.00, 0.06
 0.55, 0.31, 8.75,-0.02,-0.00, 0.06
 0.47, 0.35, 8.79,-0.02,-0.00, 0.06
 0.51, 0.39, 8.79,-0.02,-0.01, 0.06
 0.47, 0.35, 8.75,-0.02,-0.00, 0.06
 0.43, 0.35, 8.75,-0.02,-0.00, 0.06
 0.43, 0.43, 8.75,-0.02,-0.00, 0.06
 0.47, 0.39, 8.83,-0.02,-0.00, 0.06
 0.47, 0.31, 8.75,-0.02,-0.00, 0.06
 0.39, 0.43, 8.79,-0.02,-0.00, 0.06
 0.47, 0.35, 8.79,-0.02,-0.00, 0.06
 0.47, 0.39, 8.75,-0.02,-0.00, 0.06
 0.47, 0.31, 8.79,-0.02,-0.00, 0.06
 0.47, 0.39, 8.79,-0.02,-0.00, 0.06
 0.43, 0.39, 8.83,-0.02,-0.00, 0.06
 0.43, 0.31, 8.79,-0.02,-0.00, 0.06
 0.47, 0.39, 8.79,-0.02,-0.00, 0.06
 0.47, 0.35, 8.75,-0.02,-0.00, 0.06
 0.47, 0.35, 8.75,-0.02,-0.00, 0.06
 0.47, 0.35, 8.75,-0.02,-0.00, 0.06
 0.47, 0.35, 8.79,-0.02,-0.00, 0.06
 0.47, 0.39, 8.79,-0.02,-0.00, 0.06
 0.43, 0.35, 8.75,-0.02,-0.00, 0.06
 0.43, 0.35, 8.79,-0.02,-0.00, 0.06
 0.35, 0.39, 8.79,-0.02, 0.00, 0.06
 0.35, 0.31, 8.71, 0.02,-0.03, 0.06
-2.00, 0.31,10.20, 0.21, 2.36,-0.40
-5.69, 0.24, 3.26, 0.61, 3.06,-1.10
-9.34, 0.27, 1.77, 0.00, 0.62, 0.06
-9.65, 0.12, 1.06, 0.00, 0.12, 0.11
-9.81, 0.04, 0.47,-0.03,-0.05, 0.01
-9.77, 0.27,-0.67,-0.04,-0.06,-0.00
-9.89, 0.16,-0.86,-0.02, 0.16, 0.06
-9.85, 0.31,-0.27,-0.02, 0.03, 0.07
-9.81, 0.35, 0.00,-0.01, 0.05, 0.06
-9.73, 0.20, 0.31,-0.02,-0.09, 0.06
-9.81, 0.39,-0.12,-0.02, 0.03, 0.06
-9.81, 0.20,-0.04,-0.08,-0.07, 0.04
-9.85, 0.20, 0.00,-0.01, 0.07, 0.08
-9.81, 0.16, 0.04,-0.01,-0.04, 0.08
-9.85, 0.35, 0.00,-0.01,-0.00, 0.06
-9.85, 0.24, 0.12,-0.02, 0.03, 0.07
-9.81, 0.08, 0.00,-0.31,-0.36, 0.14
-2.47,-3.26, 7.53, 0.07,-0.77, 0.73
 0.63, 0.24, 8.79,-0.02,-0.01, 0.06
 0.63, 0.24, 8.75,-0.02,-0.00, 0.06
 0.63, 0.24, 8.79,-0.02,-0.00, 0.06
 0.59, 0.24, 8.75,-0.02,-0.00, 0.06
 0.63, 0.24, 8.79,-0.02,-0.00, 0.06
 0.71, 0.20, 8.67,-0.02,-0.01, 0.06
 0.98, 0.16, 8.79, 0.21, 0.01, 0.09
-3.65, 1.77, 6.35, 0.14, 0.67, 0.05
-4.67, 0.47, 7.57,-0.23, 0.02,-0.05
