691,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
726,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
770,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
804,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
839,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
874,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
910,0.00,0.00,0.00,-0.12,-0.19,-0.12,0.00,0.00,0.00
948,0.01,-0.90,0.08,-0.37,-0.63,0.37,0.00,-2.00,-97.31
985,0.07,-0.95,0.17,-0.44,-0.31,1.25,0.00,-1.94,-97.31
1024,0.09,-1.04,0.20,0.75,0.31,1.44,359.94,-1.94,-97.31
1060,0.04,-1.06,0.18,-0.50,-0.56,1.25,359.88,-1.88,-97.31
1098,0.07,-0.99,0.17,-0.25,0.25,-0.06,359.88,-1.88,-97.31
1135,0.06,-1.03,0.22,0.37,0.81,-0.31,359.88,-1.88,-97.31
1171,0.09,-0.95,0.22,0.94,0.12,-0.50,359.88,-1.88,-97.31
1208,0.07,-0.98,0.03,0.00,0.50,0.37,359.88,-1.88,-97.31
1245,0.01,-0.96,0.09,0.37,0.19,-0.56,359.88,-1.88,-97.31
1282,0.08,-0.94,0.14,0.19,-0.31,0.44,359.88,-1.88,-97.31
1319,0.11,-0.95,0.07,0.56,0.00,0.63,359.81,-1.81,-97.31
1358,0.03,-1.08,0.15,0.31,0.19,1.25,359.81,-1.75,-97.37
1393,0.08,-0.97,0.24,-0.63,-0.75,-0.06,359.81,-1.75,-97.31
1431,0.09,-1.01,0.16,-1.06,-0.81,0.44,359.81,-1.75,-97.31
1469,0.01,-1.08,0.17,0.75,0.31,-0.06,359.81,-1.75,-97.31
1504,0.06,-0.99,0.19,0.50,0.06,-1.00,359.81,-1.75,-97.31
1542,0.08,-0.92,0.02,-0.88,-0.37,-0.88,359.88,-1.81,-97.31
1579,0.05,-0.96,0.14,-0.94,0.06,0.81,359.81,-1.81,-97.25
1614,0.05,-0.95,0.26,0.75,-0.25,0.06,359.81,-1.75,-97.25
1652,0.06,-0.93,0.04,-0.31,-0.06,0.31,359.81,-1.75,-97.25
1693,0.10,-0.99,0.18,-0.56,-0.06,1.06,359.81,-1.75,-97.25
1731,0.02,-1.03,0.05,-0.50,-0.44,0.69,359.75,-1.69,-97.25
1767,0.01,-0.93,0.09,-0.94,-0.75,0.25,359.75,-1.69,-97.25
1804,0.08,-1.02,0.17,0.31,-0.50,0.75,359.75,-1.69,-97.25
1843,0.07,-1.08,0.22,1.37,0.31,1.12,359.75,-1.63,-97.31
1879,0.09,-1.08,0.19,-0.94,0.25,-0.50,359.69,-1.63,-97.25
1915,0.07,-1.08,0.17,0.44,0.50,-0.94,359.69,-1.63,-97.25
1953,0.05,-1.05,0.10,1.37,0.81,-1.00,359.75,-1.69,-97.31
1990,0.05,-0.96,0.01,1.06,-0.12,-1.25,359.75,-1.75,-97.37
2030,0.00,-0.79,-0.01,0.81,-1.37,0.06,359.81,-1.75,-97.37
2065,0.10,-0.95,0.01,2.38,-1.00,1.25,359.81,-1.75,-97.44
2103,0.04,-1.07,0.10,2.94,-1.00,2.69,359.75,-1.63,-97.56
2139,0.17,-0.99,0.24,0.88,-2.50,2.13,359.75,-1.56,-97.62
2174,0.10,-0.85,0.28,2.69,-1.94,0.94,359.88,-1.56,-97.69
2209,0.08,-1.02,0.20,1.69,0.37,1.12,359.81,-1.50,-97.75
2246,0.08,-1.07,0.22,-0.37,0.44,-0.44,359.81,-1.50,-97.81
2285,0.11,-1.01,0.06,0.44,0.56,-1.37,359.88,-1.56,-97.81
2320,0.03,-0.99,0.07,-0.12,1.31,-0.50,359.88,-1.63,-97.81
2361,0.07,-1.04,0.23,-0.12,1.00,-1.50,359.81,-1.63,-97.81
2398,0.06,-0.98,0.00,0.12,1.50,-2.19,359.88,-1.69,-97.81
2436,0.01,-1.06,0.09,0.31,1.25,-2.00,359.88,-1.75,-97.81
2471,-0.01,-0.93,0.10,0.69,0.37,-0.88,359.94,-1.81,-97.81
2508,0.59,-0.61,0.17,0.50,-1.63,5.94,359.81,-1.69,-97.81
2547,0.08,-1.11,0.07,-0.69,0.50,-1.31,359.88,-1.75,-97.81
2584,0.01,-1.02,0.07,0.25,-0.12,-1.81,359.88,-1.75,-97.87
2620,0.06,-0.98,0.03,-0.75,-0.94,-1.50,359.94,-1.81,-97.81
2662,0.04,-0.96,0.21,-1.94,-1.75,-2.56,0.12,-1.88,-97.75
2699,0.01,-0.82,0.16,-3.31,-2.38,-4.63,0.31,-2.00,-97.69
2737,0.04,-0.72,0.02,-4.69,-2.31,-2.38,0.50,-2.19,-97.50
2771,0.07,-0.92,0.32,-3.00,-1.25,-0.81,0.63,-2.25,-97.37
2809,0.04,-1.06,-0.09,-3.00,0.44,1.06,0.56,-2.19,-97.31
